id,panorama_id,text,ocr_yaw,ocr_pitch,ocr_width,ocr_height,lat,lng,heading,pitch,roll
44821389,luKDlGZzK06fc3eNWjU5aA,1209,-69.56,0.1,1.89,0.92,40.64,-73.93,175.32,89.45,1.41
44973803,K2MHGMGupE7-EuWVgWnvVA,1209,47.09,7.14,0.85,0.54,40.65,-73.97,242.26,89.5,0.61
45128135,-gTQtgGxbhrS5qFOgCWo_A,1209,-142.89,0.14,0.84,0.55,40.64,-73.93,175.38,89.33,0.68
45188355,t-9eXDLQZEGgbU4Oelv3UA,1209,147.2,0.97,1.25,0.69,40.7,-73.93,216.02,90.06,1.29
45380109,pT4ZpJZXW20CV7JEVaO0zg,1209,55.44,-1.97,0.8,0.34,40.61,-73.99,32.09,90.05,0.81
45560382,1ZBzZYyyHFKTmVjCsVr1GQ,1209,-49.68,1.07,0.96,0.34,40.7,-73.93,56.99,89.54,0.46
45577367,ALwPETISk1JGWnywqkaMUQ,1209,141.05,1.21,1.09,0.48,40.62,-73.97,344.28,89.82,0.13
45727551,wT0fS7GPb6y8r5-pdE2SKw,1209,-71.24,-2.79,2.1,1.17,40.64,-73.99,126.36,89.2,359.75
45949281,PCjN4VW4DDdzcqUWPKl_gw,1209,67.98,2.03,2.21,0.9,40.64,-73.93,355.11,90.35,0.43
46174575,5XdSgxXcvCjd76fJn40ftA,1209,103.83,0.66,2.28,1.04,40.64,-73.93,355.49,90.09,0.49
46265243,N40a5lKMFZGH5n8JPNA5-w,1209,-109.16,-0.24,1.72,0.76,40.64,-73.97,58.67,89.19,0.07
46372895,4A-wiW5nCOIe0wp08eOfOw,1209,-150.63,10.47,0.82,2.6,40.66,-73.95,172.12,91.09,359.14
46612235,OM9yed-UPYIsIKxdgzB3kA,1209,56.67,-7.48,2.84,1.49,40.69,-73.98,117.44,89.55,359.4
46624121,7KU6Ok91QwUE2M4J_Zgg3Q,1209,89.31,0.93,3.05,1.34,40.7,-73.93,262.75,90.89,359.56
46698671,bFB-LUf-AbOatKGINNEErQ,1209,-142.21,-0.21,0.77,0.55,40.64,-73.93,174.66,88.94,0.76
47204132,WsmhkBo3QHDYxrKeNHXMbw,1209,60.26,2.28,1.89,1.02,40.64,-73.93,354.94,90.48,0.84
47386056,-KeGy-TZoz9tTRZ5VOvOYg,1209,45.62,2.07,1.38,0.83,40.64,-73.93,354.72,89.94,0.69
47616158,9OnIETXlfhj9iz4yGQRCeQ,1209,140.67,5.78,1.16,0.68,40.68,-73.95,282.38,90.67,1.28
47682583,qTGrx4VUDn1rI3flWqSFTg,1209,-71.93,-1.66,1.0,0.41,40.63,-73.97,57.73,89.26,359.92
47980452,7G7XEFQ3X--KLMGvA0efqg,1209,-80.16,2.79,0.94,0.34,40.65,-73.97,62.11,90.34,0.92
48252789,qS9JHqL3ILIGotgKywAJIA,1209,123.74,-1.55,1.06,0.48,40.63,-73.97,171.53,89.66,0.96
48372511,RQRVw3q_OTcWeWTrkYU6YQ,1209,-107.17,2.93,0.89,0.34,40.65,-73.97,61.77,89.91,2.59
48372524,RQRVw3q_OTcWeWTrkYU6YQ,1209,-83.51,3.17,0.89,0.41,40.65,-73.97,61.77,89.91,2.59
48327796,EaCIu0jHQG8xmYkgjaLFTg,1209,-131.25,-0.17,1.31,0.76,40.64,-73.93,175.31,88.97,1.01
48520546,5lOruLtuW0u4B0kzGJtV_A,1209,-52.05,0.34,1.47,0.83,40.64,-73.93,174.75,89.32,1.17
48620087,zWP2WQrIt8Vx-OrelyiX2g,1209,-124.0,-2.76,1.99,1.1,40.66,-73.96,265.28,90.95,359.73
48821902,16gPxuLpnC-D06f5ATJwtA,1209,75.96,-1.48,2.36,1.31,40.64,-73.97,238.89,90.38,0.55
48833662,XXAg5ziDqxoX0HMonV2uuw,1209,47.34,2.1,1.52,0.91,40.64,-73.93,355.38,90.18,0.91
49140246,ZpiZb6qec7-6wzfvDR__8A,1209,-33.74,-0.69,0.93,0.69,40.64,-73.99,127.43,88.63,359.52
49266255,eSZXK4ytYDc5v4bKfVgb9A,1209,149.97,2.83,0.77,0.69,40.7,-73.93,261.54,90.98,0.62
49369531,T1OZ_2Sgtht8RcG_---mGg,1209,60.96,0.52,0.57,0.34,40.64,-73.99,5.31,91.27,1.85
49931040,PnuVt9d1R8DAhMZJ73RzkQ,1209,125.81,3.17,2.03,1.1,40.7,-73.93,261.85,90.24,359.94
50035546,4asrrvBwH9ZGRdzk_agIvQ,1209,47.97,4.1,0.8,0.48,40.66,-73.98,31.39,89.31,359.93
50047158,k4TY7qwFGyomWhUkMgxs5A,1209,96.46,2.38,2.59,1.18,40.64,-73.93,354.8,90.06,0.72
50181175,QIkxcnIeTJkvB5Lr_ZCoNA,1209,110.44,-1.0,2.24,1.45,40.64,-73.97,239.48,89.57,1.1
50111382,OzLlopghhhni99qccdPaSg,1209,-57.5,-1.59,3.43,2.14,40.63,-73.89,232.68,90.06,359.46
50157459,M_Ama2FWTEq_yu8O9Cjjyg,1209,41.41,4.24,1.3,1.03,40.7,-73.93,261.36,90.24,0.96
50536170,444VtESF80xpYQnaT57rVA,1209,33.9,1.76,0.8,0.62,40.64,-73.93,354.69,89.96,0.65
50492019,kEdYeod6YWmHIV3QoBkPPw,1209,90.8,-5.98,0.89,0.41,40.64,-74.02,38.66,91.26,359.99
50615073,FEE_l9rDuFL8_LUDb3biaA,1209,70.81,-2.24,1.51,0.62,40.61,-73.96,260.75,89.56,0.18
50764448,x_JtXycGvH-yWlhiI-mpsw,1209,69.88,1.31,1.58,0.41,40.64,-73.93,175.15,88.97,1.35
51067078,rFcyN-pyYugjU0YBg-xQwQ,1209,-144.88,-3.03,0.79,0.55,40.64,-73.99,130.72,89.0,2.12
51100618,Jva2FPFwGLcBQCvWQB6lYQ,1209,95.08,-2.29,1.88,1.41,40.63,-73.93,355.23,90.05,0.23
51139897,RUG2bQXPOs-vLUKWVhJdfQ,1209,-73.03,0.38,2.21,1.17,40.64,-73.99,127.23,89.17,0.07
51231063,Fyxm1r7Pe1iKInv8GLaKCA,1209,69.36,8.69,1.38,0.54,40.65,-73.97,242.29,89.37,0.69
51231070,Fyxm1r7Pe1iKInv8GLaKCA,1209,69.38,9.27,1.27,0.6,40.65,-73.97,242.29,89.37,0.69
51231080,Fyxm1r7Pe1iKInv8GLaKCA,1209,104.61,8.83,1.36,0.54,40.65,-73.97,242.29,89.37,0.69
51412773,V1-fn51Qagz7gPFM9QA_ug,1209,-74.01,-6.59,1.15,0.54,40.6,-73.96,80.41,90.72,1.88
