id,panorama_id,text,ocr_yaw,ocr_pitch,ocr_width,ocr_height,lat,lng,heading,pitch,roll
44878440,Bd6J0d4GRnAr6Cph9G-Tvw,674,58.7,-6.8,1.63,0.82,40.65,-73.92,139.1,90.02,359.12
45144165,qvtLIwtFvgxuOaQ-3VQWkw,674,49.77,-0.1,0.81,0.76,40.69,-73.96,80.97,88.51,359.73
45107488,DXBw7VLjF9s_MfaCXchheg,674,72.02,6.05,1.56,0.82,40.64,-73.97,170.53,89.62,359.18
45327463,SKBxM0EMpLUgLEGGIqJuQw,674,73.17,6.87,0.89,0.54,40.66,-73.94,84.91,88.98,2.12
45460334,lgKsLECIu7XQoGNf-tt_SQ,674,40.88,4.75,0.75,0.55,40.64,-73.97,171.94,90.05,359.77
45613521,7drr9qS0IhsK7POo9aVyUg,674,-90.47,-0.79,0.83,0.62,40.64,-74.03,195.33,90.37,0.93
45595079,GdR_pFqvgCpqDzvb3T9QLg,674,-122.24,-2.72,1.18,0.62,40.69,-73.88,236.36,89.67,359.36
45530938,QbJHNzw0s2yPmxhctuiotA,674,-109.74,-1.59,1.1,0.69,40.69,-73.96,262.25,90.23,1.31
45701844,rvog0-mMEzP4af6iBh5RkA,674,108.91,12.72,1.42,0.72,40.69,-73.94,80.47,88.57,0.34
45704575,SNOKEFuEPypn2R5JOHdS-A,674,58.77,4.41,1.15,0.69,40.63,-73.98,168.49,90.66,0.93
45778326,TlkX66lSwOX0KWrIFSeOjA,674,87.79,-0.24,0.96,0.48,40.67,-73.88,151.19,89.32,358.22
45892131,F4Tz7T1oZnGe5VvaFfqWNw,674,100.87,9.67,0.93,0.47,40.62,-73.99,128.28,89.45,1.47
46016271,d2juXAq7KtU3M_oLFcAioQ,674,103.57,-0.07,1.63,0.97,40.69,-73.96,81.3,88.91,0.29
46203997,-A-gxVEClKuH2kxX92-sZA,674,77.54,3.27,1.47,0.89,40.64,-73.97,171.91,89.85,358.74
46165774,snguWCqxPa4-xZt3DWNxWQ,674,53.19,-7.71,1.01,0.75,40.64,-73.97,171.63,89.45,359.09
46317334,Uu3r9ea5mcSq-24-_KTUQQ,674,-79.39,2.24,1.4,0.62,40.66,-73.89,332.39,90.08,0.56
46273055,lPwYZK4gAFCzHCZPX9u-zg,674,-106.49,7.04,1.98,0.61,40.67,-73.94,274.63,91.1,359.28
46283462,J0A-kpGHdfBFyj8KuqaFIQ,674,-47.21,-2.52,0.69,0.48,40.66,-73.91,347.55,89.85,1.57
46581399,vuADIJCK4T6kZKM3eNe-Ww,674,83.01,4.51,2.37,0.89,40.7,-73.94,127.47,90.06,2.63
46895773,LWnYjP169J9Dl-recPopOw,674,107.76,4.54,1.5,0.69,40.69,-73.93,78.12,89.68,357.56
47105664,U3W2NgfPfFnw4c5y0iyZ2g,674,83.81,2.45,0.76,0.34,40.67,-73.88,150.54,90.69,358.97
47778818,WfakmE0ivhpbqjGTGf3A7g,674,-60.03,-0.62,1.16,0.83,40.63,-74.02,19.85,90.01,1.15
47968216,hKFmvIX7mTDXBCR3K4mp_Q,674,140.47,-0.14,0.62,0.41,40.69,-73.96,349.86,88.0,1.24
47989828,i-telczeUSCpMzlQC_tqsA,674,-87.14,7.17,1.31,0.61,40.64,-73.94,355.62,90.71,359.23
48149776,9c1X45abfZo4pkK9XiSQzg,674,124.66,-2.79,1.05,0.76,40.66,-73.91,170.01,89.46,0.05
48437602,nxpU5IfS9Rv_HuQ59FXvGA,674,-71.71,7.1,1.8,0.61,40.67,-73.94,274.36,92.01,358.98
48567643,FtD-1ZAKhq-bK3BWEEdC_Q,674,43.01,3.17,2.39,1.65,40.66,-73.89,169.46,89.45,0.84
48575284,jysjdt3aVznsLTOG72h7jA,674,-108.37,4.51,1.37,0.75,40.64,-74.01,308.9,91.45,357.75
48575285,jysjdt3aVznsLTOG72h7jA,674,-107.07,-3.45,1.26,0.55,40.64,-74.01,308.9,91.45,357.75
48735590,W2N3JdZ6ZcbXtN2w6lX9_Q,674,-42.0,-1.24,0.89,0.41,40.64,-73.91,320.99,90.93,0.23
48958907,DCLFcq6pO1XrepAZ3CL4cA,674,-51.0,0.41,0.51,0.41,40.65,-73.95,354.55,90.72,358.93
48870678,0g1e9uRE8MmLJ7iuhiHOtw,674,128.59,8.8,1.34,0.88,40.64,-73.97,169.95,89.59,2.53
48864243,0PnmXy62acCqn0aVlGmQgA,674,-86.14,3.0,1.24,0.62,40.64,-74.01,308.17,92.42,359.09
48976081,Vd_1vDIqOiPIm5bShW-Z6g,674,-45.89,-0.17,0.72,0.48,40.69,-73.96,260.41,90.55,2.51
49195982,SoHEYAzxiqC02wDdDZBB5A,674,-109.49,-3.38,1.23,0.55,40.69,-73.88,236.03,91.11,0.04
49252036,f8xlR6b7Ls9VaES5_oNpgg,674,76.23,6.73,1.77,1.01,40.64,-73.97,171.82,90.19,359.98
49380835,Jx3jiI6EISPIP8_-7xHvcg,674,-114.01,-13.35,2.01,0.98,40.68,-73.98,117.3,89.84,358.41
49355545,r_nprUg6ypdQzHVrHeXPEQ,674,156.19,-0.45,1.93,0.9,40.72,-73.95,319.27,88.4,0.68
49472884,H0SG8brj6d9eNckHdsEDGw,674,77.5,-0.69,1.27,0.69,40.69,-73.96,80.94,89.23,359.43
