id,panorama_id,text,ocr_yaw,ocr_pitch,ocr_width,ocr_height,lat,lng,heading,pitch,roll
59955326,qH1FF9yoXFUHgKtE54B0cQ,0676,68.03,8.32,1.07,0.74,40.64,-73.92,227.32,89.94,359.77
63315855,WkOeOxvxbGUWo6XjYXorHA,0676,107.57,5.54,1.88,0.75,40.77,-73.93,33.28,89.0,359.63
102929295,2PwHm-W516tGfs4rkdLCQw,0676,22.85,10.0,0.71,0.47,40.74,-73.91,12.05,88.85,358.89
2173478,mp7Lk68nW57AR5PniBA-jQ,0676,68.5,7.24,1.17,0.48,40.72,-73.98,111.55,88.9,357.39
3737004,vc7rHDJ7Gyz5vxT5A-pxGQ,0676,-5.5,-20.11,0.82,0.37,40.76,-74.0,29.46,88.84,0.6
6256487,px_CFTPTJronoIocG72Xxw,0676,77.47,7.59,1.38,0.54,40.72,-73.98,112.63,91.02,357.13
7989046,p2PrOJE9WWZWyZjil2vxsw,0676,-200.99,-20.46,2.04,2.15,40.71,-74.01,121.05,89.67,0.89
10323404,3y34dID6C4PYe4-A3qrU_g,0676,59.13,11.47,1.1,0.51,40.72,-73.98,112.6,89.1,358.68
11469006,ZFTlfqmGjOTnM01tERgSTA,0676,74.87,6.46,1.09,0.41,40.72,-73.98,117.73,88.79,356.66
20495434,hzFGcczV3uiY8IFbcdPmhg,0676,77.41,9.81,1.36,0.44,40.72,-73.98,110.02,88.42,358.81
20609570,Y5EGkcYKXlXvgEqvMeTFdw,0676,113.15,10.14,1.31,0.6,40.72,-73.98,99.11,88.61,359.37
21632742,vC1Winnj4gA_r6jgC5mEew,0676,69.16,11.7,1.24,0.4,40.72,-73.98,112.56,89.56,358.48
24238922,z6nT-joJ3PXOZF2gHeQjgQ,0676,76.56,12.26,1.28,0.46,40.72,-73.98,111.86,89.65,358.44
43554941,LKWCpELJGMFpz4N6kKCpDQ,0676,82.5,-3.27,1.74,0.62,40.68,-73.93,93.82,90.01,358.75
