id,panorama_id,text,ocr_yaw,ocr_pitch,ocr_width,ocr_height,lat,lng,heading,pitch,roll
44697268,kooz83jSj-uJnrOdnOZKsA,07,74.52,4.54,0.64,0.41,40.64,-73.93,353.19,90.05,0.42
44915007,dU-QO7MrdqqdsrjJzTUzlQ,07,-89.9,-1.48,0.9,0.76,40.68,-73.87,339.63,90.36,0.27
44988429,wEOb21pZNkmg8khCXTe6vA,07,54.9,-5.5,0.8,0.55,40.66,-73.89,152.86,89.86,0.15
45061826,31DvmTfwDu13DlhKkJzgsg,07,-43.86,-9.8,1.17,0.74,40.64,-73.95,354.95,90.78,359.48
45358918,EgnfUF88b2xsD9H0qNwvpQ,07,-112.88,-2.55,0.65,0.69,40.71,-73.96,295.94,90.26,0.61
45376186,w4_rZcxS8bKeUeNZGP30Kw,07,136.66,-8.83,2.07,1.89,40.71,-73.93,257.89,90.06,1.28
45433710,3LaQaYsJIJNxsleIFh1sfw,07,36.24,4.48,0.91,0.69,40.68,-73.86,262.8,89.29,1.0
45460853,3ieNF4gyygDx_c4rDqU6Hg,07,90.27,11.34,0.53,0.46,40.66,-73.99,308.26,87.91,0.88
45674656,ECph1q_Ozd_m-qYn3fKZKA,07,79.1,-7.71,1.26,1.02,40.68,-73.9,306.7,90.06,359.6
46059877,lVW4DpdCTf5AF6cmAjnPqQ,07,-57.6,-1.66,0.8,0.41,40.59,-73.96,80.88,89.63,0.35
45965929,_pQjySpTVePgIn4wT8A7Og,07,76.73,2.48,0.81,0.55,40.59,-73.98,312.23,88.82,1.6
46087680,jHKYAgDoHSPqWQ2_h0Qp1g,07,-128.81,2.28,0.89,0.55,40.64,-73.91,49.34,90.77,0.76
46100983,w8CnqZKnfzD0hdDL0ZMldw,07,90.47,7.38,0.95,0.75,40.64,-73.93,174.94,89.26,1.26
46179035,98Iiddnzo4Wkr-ytE5377g,07,-58.4,3.1,1.48,1.51,40.62,-74.03,127.04,88.79,0.66
46271734,BjCg7Jflld_J3zFuTNJyiw,07,22.77,0.59,0.53,0.62,40.63,-74.02,128.06,88.72,358.77
46674496,AdwV_J1aASh8P6utTi5JSA,07,58.48,-9.23,0.91,0.81,40.64,-73.93,5.16,90.38,0.74
46707712,uF0hpk5JdVPoody3WGu22w,07,35.22,0.17,0.59,0.34,40.64,-73.93,174.72,89.88,359.81
46783042,StIiLVMmvinaKiN2Q95KUA,07,136.59,-6.8,2.48,2.18,40.63,-73.91,38.22,90.34,4.05
46820924,o6I9BsgBy7c2uBDO2hAaag,07,-4.71,-8.29,0.69,0.54,40.64,-73.92,49.29,88.68,0.79
46979637,hrPC4zHZtxP9NF8WGXKGlA,07,119.43,-8.02,1.09,0.81,40.58,-73.94,88.83,90.69,3.02
47134475,uCVFc55UdxwCx815miCCug,07,-161.09,0.79,0.93,0.76,40.63,-74.03,107.01,90.14,0.12
47073392,j_HbuOUtOM2GxLecye5BiQ,07,-3.62,-7.44,0.62,0.47,40.64,-73.92,48.58,89.38,0.38
47075613,I5EmxfdKb2BDY1Ilu_8Kpw,07,84.98,-3.69,0.69,0.48,40.7,-73.94,340.44,89.53,1.94
47117811,Q_n5r06GZjUoETr3JRMWOw,07,-89.68,-8.32,0.65,0.61,40.67,-73.89,349.34,90.18,359.32
47126596,jyK2iuJ02gkIaytVVCu0-Q,07,-133.72,-7.58,0.9,0.75,40.59,-73.97,127.25,89.48,1.15
47061003,Qr6oO9Dfivxj4J834nASFg,07,-93.71,-18.01,1.05,0.75,40.71,-73.95,294.56,88.7,0.2
47339912,DzPx7ROK2dmZBnYpi38amA,07,-47.46,-13.05,0.73,0.72,40.68,-73.9,37.26,92.5,359.96
47339926,DzPx7ROK2dmZBnYpi38amA,07,-47.45,-12.33,0.76,0.59,40.68,-73.9,37.26,92.5,359.96
47229833,Mz0N2eSsDzVlmgyizqY9Ng,07,-163.18,-6.05,0.76,0.55,40.65,-73.92,48.51,89.33,1.96
47358233,vycb4ZxlKdHoMvCr35QmAw,07,58.64,-3.17,0.46,0.41,40.66,-73.9,280.65,89.07,359.89
47250917,wXolWwRACkbkVqFkqzpWzw,07,155.38,-8.63,0.55,0.4,40.7,-73.93,127.7,89.19,0.24
47570587,ZlD9H5XyWinZS2_aI3BdWQ,07,21.19,-4.17,1.79,1.85,40.68,-73.94,93.16,91.25,0.64
47683200,SPjb9pdg_4hiBpuYMfXaOw,07,-118.21,-13.74,0.82,0.52,40.68,-73.9,102.69,89.4,1.82
