id,panorama_id,text,ocr_yaw,ocr_pitch,ocr_width,ocr_height,lat,lng,heading,pitch,roll
44667379,8UBarbfWjXu80I9U2yJ0Aw,3,-112.32,3.96,0.35,1.03,40.6,-73.99,127.57,89.74,0.13
44675150,iZGqgEQoLbbaCPCtoPE3iA,3,82.76,4.06,0.71,1.1,40.68,-73.91,127.24,90.7,0.44
44800302,5dgizx9OPajg6trj8_LbWw,3,-89.48,20.74,1.17,0.91,40.73,-73.95,334.11,90.0,0.0
44799193,CAWv_XmxQNExiB0eDuoTNw,3,-72.9,-17.92,2.33,2.56,40.57,-73.98,190.47,91.97,0.98
44687485,O9VG0lLOXGhqEbUFE78b8A,3,-134.7,10.94,0.59,1.0,40.64,-73.91,230.35,90.04,358.53
44814472,c2k0JKqdXLuKqTikdzydbw,3,-137.34,-6.93,0.41,0.54,40.67,-73.96,286.93,88.6,0.36
44747276,cp1xisKfr7pHX33LAaYexg,3,-49.43,2.24,1.12,1.58,40.65,-73.96,172.93,89.81,359.78
44811248,hWL1iiQVsOFWjjR_Rb4IVg,3,-96.73,-0.17,0.41,0.48,40.6,-73.95,351.27,89.67,2.2
44815863,ft1JHm-1OH8FebMG9wya3w,3,-129.51,-13.41,0.76,1.04,40.65,-73.96,62.4,88.97,1.31
44815926,ft1JHm-1OH8FebMG9wya3w,3,-74.04,-13.51,0.83,1.11,40.65,-73.96,62.4,88.97,1.31
44819442,LSePuWr96TtVS_0uOPrpLg,3,-67.91,16.72,0.71,0.82,40.58,-73.98,170.7,89.34,1.69
44750206,fY4_Jf8DSBlQg83UrpZgqw,3,82.59,-11.17,1.29,1.46,40.66,-74.0,218.42,89.92,0.11
44696538,tuS2Kh8zO0mTQEP8m9JYZA,3,-169.99,1.41,0.39,0.48,40.68,-73.98,206.95,90.79,1.68
45937672,kCHP76uY8CqJmef2_zkaeA,3,104.19,-5.57,0.26,0.55,40.67,-74.0,153.61,91.69,359.05
44702796,xc-QgDUfC_Jp6VUQm7a6vQ,3,128.33,10.0,0.96,1.14,40.73,-73.95,153.95,90.1,0.64
44831522,f3jDtnKIdUlDdkIIF9l2fg,3,-33.63,11.54,0.53,0.73,40.65,-73.91,54.11,89.98,0.54
44832530,QGqgZ6rY8xBZ22b7YOLNOg,3,122.9,-10.07,0.53,0.6,40.59,-73.96,357.32,89.76,1.69
44771476,Bh6ijk9kt6LPnaLyp4owdQ,3,-91.01,-12.03,0.72,0.79,40.68,-73.87,256.54,90.7,358.16
44710090,2YxrsgEACD_PXVrKHgXZKA,3,-87.76,-3.0,0.62,0.62,40.7,-73.93,79.42,89.11,1.73
44776112,NpiORo83WqwEHqSi2yaGKQ,3,80.16,-0.45,0.33,0.48,40.64,-74.02,326.19,88.19,359.21
44863483,Vw6oC8rdOuo6F7KpVnRepA,3,51.01,9.0,0.75,1.14,40.63,-74.03,198.92,90.08,1.14
45003936,S1HpEmPMe8KGgaQ3lXUahw,3,-22.8,-9.5,0.47,0.81,40.7,-73.96,23.57,92.06,358.99
44995371,SA4dncDIVhT76El2oL8QFQ,3,-99.55,6.42,0.79,0.89,40.68,-73.98,207.48,90.25,1.54
44876235,pDggrb_DKGZq10x0UMFRbA,3,108.94,-5.19,1.48,1.98,40.57,-73.98,352.2,91.75,2.83
44956193,FdRp3JvQfjvEAqHdCB6zIQ,3,99.09,-1.97,0.52,0.76,40.66,-73.89,345.53,89.49,358.16
44940197,sHPpQfAJcF2_1PR1zCjIug,3,90.15,-10.1,0.3,0.53,40.59,-73.95,328.63,90.33,0.22
44886006,9G8vyZ9HWp4lBRckfIF20g,3,136.17,-14.13,1.24,1.95,40.63,-73.99,128.06,90.43,359.51
44894548,ywkKX09-856CkaqnkpJXLQ,3,72.35,2.79,0.34,0.48,40.62,-74.02,307.71,90.92,359.98
44894154,frMptcXVd61FlHRrpXedJA,3,92.28,0.0,0.83,0.83,40.7,-73.92,82.46,89.32,0.43
44963480,MEirTDfUIyAA-7TCCMyzeA,3,127.96,1.03,0.75,1.24,40.68,-73.87,284.26,89.37,1.16
44917381,ziX8cEZ0-VVnyllh_QUN6Q,3,-80.75,2.76,0.85,0.96,40.6,-73.97,124.53,88.28,3.41
44987216,r5B_-f1zw_AK4Ys2R-fQbw,3,141.92,-0.86,0.58,0.76,40.61,-74.0,192.34,88.93,0.87
44924147,hhRWoXt_YZxX2w6ykg2kLA,3,-25.33,10.81,0.55,0.87,40.68,-73.98,296.26,89.74,359.61
45085315,obxJIcltYz5CigEosC2_Lg,3,-152.92,-7.34,0.44,1.09,40.65,-74.0,39.45,88.67,0.44
45079553,LjRYK4ncUkNqIlioBcjX1g,3,-49.52,14.71,0.44,0.52,40.64,-74.01,222.85,89.43,359.02
45090964,gF1CIZVul4-YWhN8VgmVRQ,3,-155.74,-15.06,1.03,0.71,40.62,-73.99,218.42,88.91,359.7
