id,panorama_id,text,ocr_yaw,ocr_pitch,ocr_width,ocr_height,lat,lng,heading,pitch,roll
44745009,Be4Ql6Kww5bzs9jMUVwNkw,846,-57.13,4.51,1.7,0.98,40.68,-73.96,85.26,81.7,2.59
44743106,2QMg6UhbiNoxvol_MHzoMw,846,-77.08,4.75,0.85,0.69,40.68,-73.93,183.01,92.33,359.69
44697689,DlxQP6OzUuowa09GRt9uSA,846,10.34,0.86,0.92,0.62,40.64,-73.93,355.22,89.92,0.03
44709022,sdMDu_QBLuX28PMgNZaMuw,846,96.8,3.93,2.31,1.24,40.66,-73.88,60.38,89.17,1.09
44780443,3Ne2zkhSlGldLPfktbxGzQ,846,-122.08,-2.65,1.38,1.17,40.7,-73.94,125.81,90.94,2.55
44788884,gv8EPTVE3NhPwBnG9LGPPg,846,-125.1,0.28,1.21,0.69,40.67,-73.95,95.5,88.31,357.9
44864879,tJ2WAnydKV8d4UP5GLUZ0A,846,-80.12,-1.86,1.28,0.78,40.63,-73.94,352.66,90.42,358.78
44888119,lodkzVDEEZ1y2aeu5aqYlg,846,-124.39,1.55,1.0,0.48,40.63,-73.93,358.3,89.38,2.34
44965887,QfHc0r81eF0TAzWbFpU1pg,846,21.4,4.68,0.97,0.55,40.7,-73.94,126.13,90.59,1.64
45068166,lNiLyKuKiwMvI0J6sAybHA,846,-89.07,1.31,1.03,0.41,40.67,-73.88,240.03,89.74,1.01
45155711,xKb0FK9PmM_r-boYKhrsRA,846,-7.75,1.66,1.08,0.55,40.61,-73.92,139.42,89.28,0.11
45266320,ARTRWJbFQ7ffY-nyhPfiuA,846,-125.03,0.45,1.12,0.62,40.66,-73.88,240.3,89.06,0.7
45282847,jRXt-GOe6FndSdzy4NX6tA,846,91.38,7.95,1.93,1.35,40.68,-73.93,3.11,86.98,0.86
45338818,-HaEW_NE8eJDyJorIrK6VQ,846,-125.57,1.21,0.94,0.48,40.66,-73.93,355.36,90.91,0.03
45420684,X8yZGRUe_AF-npST7b4Bqw,846,-63.33,-0.72,1.3,0.76,40.63,-73.98,351.16,90.54,0.48
45454185,Js6Oxrd9CTliKWR41SvMWg,846,122.0,9.6,1.21,0.74,40.64,-73.93,176.0,89.31,359.67
45454195,Js6Oxrd9CTliKWR41SvMWg,846,138.48,7.34,0.89,0.68,40.64,-73.93,176.0,89.31,359.67
45460582,uj4M12Oxi_uFgbd6K6uMGw,846,21.91,5.84,1.03,0.55,40.67,-73.93,2.3,87.9,0.88
45496836,jNfFumeM_6SyPicdNSTYTA,846,58.53,13.38,1.5,1.0,40.64,-73.93,175.53,88.66,0.71
45496844,jNfFumeM_6SyPicdNSTYTA,846,85.48,15.42,1.69,0.9,40.64,-73.93,175.53,88.66,0.71
45577130,vTA-EAq24Q2iqdzMu-hpnA,846,67.22,1.31,1.52,0.83,40.67,-73.95,92.3,90.17,359.87
45609219,ExM6-KTK4hd1sEPtY7MTyQ,846,102.65,-6.03,1.0,0.46,40.63,-74.01,128.48,90.73,359.21
45596334,KAS814MgErJyiYG8pJPNag,846,19.78,4.95,0.89,0.55,40.65,-73.93,355.35,90.28,2.52
45680645,WxOGH7lxg9P8JJgp2GS4ug,846,-84.54,2.1,0.69,0.62,40.62,-73.93,174.61,88.99,0.49
45751850,w5xAT7wPY_25vk95aPXvPA,846,-83.92,3.03,1.73,0.79,40.66,-73.88,240.07,89.72,0.95
45666304,960tL_1gDcpJ4osgMzO5Ug,846,82.14,9.43,1.29,0.67,40.64,-73.93,177.8,89.73,359.92
45666309,960tL_1gDcpJ4osgMzO5Ug,846,106.21,9.03,1.21,0.67,40.64,-73.93,177.8,89.73,359.92
45718377,UhmZMqGZG5kGq3bm_mYK7g,846,-146.2,2.62,0.93,0.55,40.67,-73.93,184.05,90.84,0.24
45991220,XlOGCqNRsBaG0ZkNHMtYmQ,846,-123.46,1.0,1.13,0.62,40.66,-73.88,240.06,90.36,1.09
45962516,9TMs3eKYOsvWlPVKyc8zDw,846,-28.37,-3.72,0.89,0.82,40.61,-73.92,140.09,90.34,1.23
45971579,DJkKeRcfT1oYnQjCoTXiVQ,846,62.35,14.64,1.45,0.9,40.64,-73.93,178.28,89.44,1.06
45971626,DJkKeRcfT1oYnQjCoTXiVQ,846,92.34,15.38,1.79,0.83,40.64,-73.93,178.28,89.44,1.06
45971637,DJkKeRcfT1oYnQjCoTXiVQ,846,92.33,16.34,1.7,0.95,40.64,-73.93,178.28,89.44,1.06
46111181,Vf9KBy0M4-6jGvgrk12iIg,846,84.19,2.93,1.16,0.62,40.63,-74.01,127.97,90.77,0.78
46041234,fkKDWdV5kAq5Pwxeh7wv6A,846,-135.03,1.72,1.03,0.55,40.68,-73.93,218.91,91.71,0.66
46041654,1PeAG20HVF1VEKORjlYIBg,846,-115.88,0.66,0.96,0.48,40.66,-73.93,357.01,90.36,1.48
