id,panorama_id,text,ocr_yaw,ocr_pitch,ocr_width,ocr_height,lat,lng,heading,pitch,roll
44677623,eSG-lZI535Cz-PNnLsY60w,1709,115.84,4.75,1.31,0.69,40.63,-73.94,319.9,90.54,1.33
44703575,-NSdawEQc088UHO-G1JZNw,1709,-130.7,1.76,1.3,0.62,40.64,-73.95,176.46,89.98,359.82
44720289,m0oofy3NW8i5P1e047PZSg,1709,-59.65,-1.83,1.02,0.48,40.63,-73.94,140.32,88.73,1.69
44863995,ZOcJyZfY8foUi5OFyYH5DA,1709,-46.25,1.66,0.96,0.55,40.62,-73.96,83.35,89.91,359.13
44950090,UIi8deOT6bZqQlQYKD2V5A,1709,-105.19,-2.41,1.02,0.55,40.61,-74.0,123.48,91.78,1.13
44896784,-Oj5z-_7iw53s-LQfWk76Q,1709,-98.76,-1.55,2.08,1.03,40.61,-73.98,171.89,89.63,359.76
45178208,rll0NVJfu3Ou-FfwzPNI1Q,1709,-58.34,2.55,1.18,0.41,40.61,-73.97,171.01,89.19,359.47
45259806,rQdF3YczOQxFl8CRhIUjuw,1709,108.57,3.07,1.61,0.62,40.61,-73.97,351.36,90.04,358.9
45503050,MQOepqXlhws0sEwGmALQEg,1709,-57.5,-2.34,1.27,0.69,40.61,-73.98,171.67,90.71,1.15
45813002,nXRWoy1VNSN8NWM76G3JwA,1709,-95.91,-5.43,1.23,0.55,40.58,-73.95,281.33,88.55,1.0
45758314,ddk87DXB4Qhc7DO5-WlM2Q,1709,-46.28,2.1,0.9,0.48,40.61,-74.0,191.81,89.81,0.48
46050067,uSaP3tj7WK2eDu-CSKC8gQ,1709,-31.0,3.89,0.52,0.34,40.61,-74.0,127.7,90.38,0.28
46336861,_3NdDymuq6SFHwoBptoGYQ,1709,86.38,2.83,1.17,0.55,40.63,-73.93,354.72,90.03,2.48
47023350,V3yP71XiEStLHMGtLNhMxw,1709,-42.88,-17.16,1.88,1.07,40.68,-73.86,84.75,91.03,359.74
47163846,2lynjp0HAeNNKkhW6uHQkQ,1709,-98.57,-0.48,1.57,0.72,40.64,-73.96,57.53,89.0,0.58
47045534,4QwVLoVLUmvKOrixho3cAg,1709,-50.3,-0.28,0.96,0.41,40.61,-73.97,171.56,89.7,0.68
47196996,vpo6uD5HISUZWjV9m2veiA,1709,82.05,-1.66,1.49,0.83,40.7,-73.93,215.14,91.19,357.97
47486997,4M6ikFBPdRvhq51dbtIfww,1709,52.07,6.15,0.95,0.75,40.62,-74.0,217.02,88.92,359.15
47630258,L0GNVkIMOpAVKnLW8AhgFA,1709,-65.81,2.07,1.03,0.55,40.63,-73.94,140.71,89.32,0.75
47597846,qKHIuBqzShMsxZx_qZplGQ,1709,-104.51,2.03,1.69,0.62,40.61,-74.0,128.04,89.8,0.66
47872498,622u6xwacndbsm8ekAnU1A,1709,131.01,0.38,1.12,0.48,40.67,-73.92,270.46,90.8,359.97
47878599,L5I9KvVcgRf-nz7TTn1lQg,1709,64.25,1.03,1.11,0.55,40.64,-73.9,319.86,89.72,2.69
47949052,lKVF_9VJM1h11ziqCqAf2g,1709,88.42,3.45,1.38,0.55,40.68,-73.91,302.75,88.4,359.17
47971746,w4DRc30jc_2tDirYYPVZmg,1709,72.62,-10.04,0.88,0.54,40.63,-73.98,309.93,88.93,359.46
48336503,CE6aj4Ixo9dq60lgIgPI-g,1709,-121.56,2.38,1.24,0.62,40.61,-74.0,127.38,90.34,359.76
48336507,CE6aj4Ixo9dq60lgIgPI-g,1709,-121.95,-1.83,0.85,0.48,40.61,-74.0,127.38,90.34,359.76
48480788,-xIHFbXIhCrFhA3gjwH5DQ,1709,-82.29,-2.65,1.56,0.48,40.67,-73.92,93.97,88.38,1.41
48596419,w7nOg2Jf1g-G02ER3eLURQ,1709,-114.93,-4.06,1.03,0.41,40.63,-74.02,194.82,91.27,0.87
48785362,x511jEkCXtKKYCFSawknBw,1709,36.4,1.55,0.72,0.48,40.67,-73.92,279.73,91.21,2.51
48792571,tHMO-j5DAbEAWBkbykknaQ,1709,134.86,4.37,0.97,0.48,40.64,-73.92,355.43,89.96,2.34
48751420,eMMR0tp9CQvwgGSdswqe1g,1709,-83.85,-1.52,1.57,0.69,40.6,-74.01,124.31,89.7,1.08
48962495,M33W7yC4PBS43K4ODJk8ug,1709,-66.22,-11.17,1.03,0.53,40.61,-73.98,172.08,89.88,359.36
48962499,M33W7yC4PBS43K4ODJk8ug,1709,-40.08,1.41,1.03,0.62,40.61,-73.98,172.08,89.88,359.36
48962506,M33W7yC4PBS43K4ODJk8ug,1709,-66.19,-11.93,1.08,0.59,40.61,-73.98,172.08,89.88,359.36
49167070,CWtyivJLAkDstV41zeixeA,1709,-110.33,-2.65,1.31,0.48,40.6,-74.01,124.09,89.16,2.3
49190513,rOliON3C94zVAjt5lg9pJA,1709,-92.61,2.21,2.14,0.98,40.61,-73.98,171.77,89.67,359.1
49314396,QtL-iXUR_lSwYEd4717h1w,1709,-86.8,0.93,1.72,0.76,40.62,-73.96,85.89,89.96,0.18
49314398,QtL-iXUR_lSwYEd4717h1w,1709,-72.77,-2.76,1.33,0.56,40.62,-73.96,85.89,89.96,0.18
49648303,3U83NJem152j_yH1_6s1Xw,1709,-79.13,-2.72,1.4,0.62,40.63,-73.94,141.2,89.77,1.3
49561328,WBilOKPYKl_QpuTe9jqUng,1709,101.4,2.28,1.66,0.55,40.61,-73.97,352.37,89.99,0.1
49702049,WjnqhSOtlHkQsypKsxCsNw,1709,97.85,8.59,1.96,1.01,40.61,-74.0,39.13,89.63,0.82
49602723,XNApvuvCCd3R4uHmnDxc1A,1709,87.79,-3.0,1.21,0.48,40.66,-73.98,37.25,88.89,2.15
49627186,BWcs5xBeCNJVQ9tKEXG3Cw,1709,-47.97,1.55,1.04,0.34,40.65,-73.96,61.35,90.29,0.94
49833328,UQHG21Lhu-4D9hZZfKfGHg,1709,60.86,3.07,1.66,0.89,40.61,-74.0,11.7,90.78,0.42
49767580,JUgzaJ3Ux9vpxK2ljUuTng,1709,115.43,1.62,0.89,0.34,40.61,-73.97,350.48,89.07,1.11
50323593,LK1O2iCyfjHmMmocDRolLg,1709,66.3,-2.42,1.67,0.99,40.61,-73.99,37.58,90.23,359.62
50378991,DLfah01LJfqxvvTrPYmoag,1709,-56.06,-1.59,1.06,0.55,40.63,-73.94,142.09,89.49,0.86
51069830,lVx4iOX4M0JvEZCKnRUWtA,1709,58.57,1.52,1.11,0.41,40.64,-73.9,318.9,89.2,2.82
51195802,j7d9shF2153AXGWplVrSZQ,1709,94.41,10.87,2.22,0.92,40.61,-74.0,37.9,89.99,0.45
51343668,_tCDWM_8NrOlNKsU4y8ktg,1709,-96.64,-1.59,1.53,0.69,40.64,-73.96,56.72,89.89,1.84
51709042,XfXQ0LGzfI2Xh8RXFYxoiw,1709,-127.18,-2.1,0.68,0.34,40.63,-73.93,354.44,89.72,0.18
51716422,gDylxjUcxhCj1qDKsesAqg,1709,-92.61,1.83,1.28,0.62,40.63,-73.94,140.69,88.71,1.18
51919167,7sOWXmaPJkpTN4IpYTWeFQ,1709,-116.46,-2.21,1.18,0.55,40.63,-73.94,141.61,89.49,0.89
52203490,3XfmBCeofUOObkJZxp-u8Q,1709,-93.07,0.55,1.47,0.69,40.64,-73.95,175.23,89.97,1.04
52203638,3XfmBCeofUOObkJZxp-u8Q,1709,-74.62,0.07,1.48,0.69,40.64,-73.95,175.23,89.97,1.04
52356717,EYXQ6wq8ZDs49VEgHBe9Mg,1709,36.46,2.21,0.58,0.55,40.62,-73.96,255.19,89.67,359.16
52356755,EYXQ6wq8ZDs49VEgHBe9Mg,1709,71.74,-1.86,1.44,0.69,40.62,-73.96,255.19,89.67,359.16
52281193,29K77phi4fhaXhtsdVmZ6g,1709,83.71,-1.52,1.08,0.41,40.63,-73.96,260.62,90.33,2.04
52424759,vVe6ihQ1n80iSCvCDSmqGg,1709,94.24,3.24,2.4,0.69,40.65,-73.96,242.72,88.86,0.23
52506778,EwfaDybwCA3jbTMoOTj0Fg,1709,65.01,-1.17,1.28,0.55,40.63,-73.98,307.96,90.03,359.3
