id,panorama_id,text,ocr_yaw,ocr_pitch,ocr_width,ocr_height,lat,lng,heading,pitch,roll
49503737,6ubnK1gG1RJpvlTyMCwvww,0833,140.59,12.92,3.09,1.9,40.65,-73.93,266.58,90.82,0.3
53829011,OpkUY8nSRQuatUjjQlaiAQ,0833,57.29,1.14,1.84,0.76,40.62,-74.0,191.75,87.48,0.65
54870467,cTd3OMs-ZB2kNsqT4_T1vA,0833,-29.54,7.24,2.11,1.29,40.68,-73.96,102.83,90.16,1.63
58099960,NjvuOXMpJXCt9D_fcCTWuw,0833,-42.52,2.69,0.69,0.41,40.78,-73.89,223.34,89.56,359.59
60861198,DFsP0DubuqV9P3BZb0MbnQ,0833,-17.99,3.96,1.3,0.76,40.68,-73.96,106.27,90.22,1.58
65268516,sex83zr5iGVAGXgY_-cy0w,0833,-146.3,-9.33,0.86,0.47,40.75,-73.93,99.11,90.84,359.18
75722025,0DB6XV532KAPRTf0l8rN0g,0833,-128.14,1.62,0.7,0.48,40.78,-73.9,223.31,89.51,359.81
83915131,PfQOtCVpUj4SlU94oPDfmQ,0833,-67.81,2.69,1.45,0.7,40.78,-73.9,223.52,89.56,359.29
76872571,BzFVuXRWL2bjlEcceOmO_g,0833,120.15,-8.66,1.42,0.74,40.75,-73.86,251.02,89.61,359.27
79541458,RPEkfJHukYjI2F3jlFeiPw,0833,-82.18,2.48,1.76,0.83,40.78,-73.9,223.5,89.69,359.42
79541464,RPEkfJHukYjI2F3jlFeiPw,0833,-83.75,4.27,0.89,0.41,40.78,-73.9,223.5,89.69,359.42
82920813,-mUhNTqHOx8YInpD6Kgk_w,0833,-56.26,3.45,0.66,0.55,40.78,-73.9,223.62,89.59,359.06
82920815,-mUhNTqHOx8YInpD6Kgk_w,0833,-46.46,2.79,1.02,0.62,40.78,-73.9,223.62,89.59,359.06
84989530,MhItFF4LAGlWG7sTLa64Lg,0833,-47.15,-9.97,1.09,0.67,40.74,-73.89,279.89,89.57,358.12
113538352,pKMdvJN_TzJDvGVexdmYYQ,0833,-84.5,-4.37,1.37,0.36,40.63,-74.14,185.86,89.47,1.88
114367848,v-xWu-rGssrWAkH6bqDSqQ,0833,-166.33,-1.83,1.08,0.34,40.63,-74.14,235.09,90.08,359.54
115267982,YdgEPcvpy6uQRJfRBxZIHA,0833,-53.96,-3.31,1.7,0.41,40.62,-74.14,96.05,90.54,0.34
2299864,kjUT9lxnXkE4XwZ5MVnhhA,0833,-45.89,0.66,1.67,0.9,40.75,-73.99,299.01,89.49,358.06
6728895,2sMm-QKfnglJnZmCz5VCXg,0833,54.55,-2.79,3.41,1.86,40.78,-73.96,115.49,88.13,0.34
8438070,uDMyxEkr7aMAjQ05SjJeUg,0833,22.98,0.17,1.38,0.62,40.75,-73.99,297.65,91.34,359.52
12872992,2hwpHtRIlsB_6kBsnkrBuw,0833,85.07,0.0,3.52,1.53,40.75,-73.99,298.95,90.61,0.44
21345140,y-vtsQJuT4gNS7sXAd6OdQ,0833,-140.67,-7.61,0.75,0.54,40.76,-73.99,292.8,90.46,1.2
22130699,unUNp5QAH-KlQs2KypAphw,0833,-96.06,0.03,1.02,0.34,40.74,-74.0,29.5,90.47,1.34
26303488,b4SpqfmmPwg6qS12etvJbA,0833,137.43,6.46,2.74,1.36,40.7,-73.98,272.68,89.04,358.84
26752511,cRjhych_zUvDiYddhuH0Sw,0833,-42.59,0.86,1.24,0.9,40.66,-74.0,218.11,89.4,358.64
32568325,5hAl5iuyXcp4bceNbaxZfQ,0833,156.95,8.69,2.35,1.35,40.68,-73.96,284.65,89.04,1.61
35241052,5KqC2pn3DKYRFPFGwyZ3ng,0833,8.73,-9.4,1.46,1.38,40.66,-73.87,180.03,92.31,2.06
39028182,1fD2yILPWVRLENUZZ_3vOA,0833,-4.51,-11.22,1.69,1.64,40.66,-73.87,198.37,92.14,0.46
41217962,0EdV4FCo1UQ4tPZNJm8aeQ,0833,-99.95,-3.95,11.46,7.86,40.7,-73.93,261.54,90.17,358.86
44591755,oXf4vRScVcV0rbq86Cuc7Q,0833,-102.34,-15.45,2.71,1.84,40.66,-73.87,231.76,92.51,358.69
