id,panorama_id,text,ocr_yaw,ocr_pitch,ocr_width,ocr_height,lat,lng,heading,pitch,roll
49004900,6kzdSbH5Lj4mAvss5Zu2WQ,0693,-112.0,-1.38,1.01,0.41,40.64,-73.91,229.53,91.1,1.47
82084028,hj2lZVLzVvM1BmIbNNv01A,0693,146.54,1.21,1.26,0.62,40.76,-73.91,121.22,89.36,0.29
111746365,LYY-aBuwOWML4To-uy93Jg,0693,34.07,-13.54,1.86,0.79,40.62,-74.08,213.07,89.76,0.79
113144884,glRcRRD4lB2CV5g2C_q56A,0693,-153.01,-9.84,1.25,0.54,40.64,-74.13,210.48,91.8,0.96
113929506,H1BeUtceHfpDXLjaudwb_g,0693,-125.83,-7.85,1.48,0.61,40.63,-74.1,131.37,93.42,359.91
9487825,zHbys9BhhyDz_TPAG-y_lA,0693,53.46,-10.97,1.28,0.66,40.71,-73.98,264.19,89.88,359.84
37336597,-WJdLcXdDnj8mYpbjpQU0A,0693,125.52,2.45,1.18,0.48,40.64,-73.9,51.49,89.56,1.16
44277487,gGnGfhMQ25HABxXX3BieTA,0693,-98.86,20.55,2.8,1.01,40.67,-73.98,123.17,91.07,359.54
