id,panorama_id,text,ocr_yaw,ocr_pitch,ocr_width,ocr_height,lat,lng,heading,pitch,roll
44956853,oWg3-m-_IcoT0fEK3jz6Qg,966,-71.06,0.28,0.74,0.41,40.68,-73.95,284.67,89.37,1.28
44925325,US4631eQsy1YjliZhKH10Q,966,56.83,8.63,1.32,0.81,40.64,-74.0,128.21,87.81,358.6
45409032,CmEgFCzQmAwJOs0-00u9Ag,966,47.49,2.96,2.02,1.54,40.64,-74.0,128.63,88.9,0.13
45503710,Njk15Yv1rRGDrVwQpnSGOA,966,93.99,10.9,1.92,0.93,40.64,-74.0,127.9,87.44,359.5
45759248,4IOTpNZSWXmCn8DW5YnWnw,966,-24.68,2.79,1.15,0.62,40.68,-73.96,154.73,90.84,358.95
45764401,HGtfcEXRPnFN7xb1WB_kWA,966,-62.51,-1.41,1.03,0.62,40.69,-73.87,166.79,89.48,0.64
45764410,HGtfcEXRPnFN7xb1WB_kWA,966,54.33,-1.17,1.14,0.69,40.69,-73.87,166.79,89.48,0.64
45870642,86SvtcQb2xRaNC6Gi_foYw,966,128.24,0.76,1.03,0.7,40.68,-73.96,105.23,90.34,1.52
45785961,7Z_eDfIhi_A09Cg3VFSeHA,966,-133.38,1.69,1.59,0.9,40.7,-73.93,230.26,90.76,359.78
45873497,j9iNpqtJUx8-e2PQIJ-eZQ,966,-96.87,3.86,3.67,2.06,40.72,-73.95,156.5,89.93,359.84
45873502,j9iNpqtJUx8-e2PQIJ-eZQ,966,-90.03,-8.05,1.17,0.61,40.72,-73.95,156.5,89.93,359.84
45956526,oOyrMV8u7c0kdo773ZOejw,966,54.43,2.96,1.61,0.96,40.63,-73.97,168.97,89.31,2.81
46026589,pfJhraQw4gcskrQVY8xDPg,966,108.41,0.34,1.3,1.1,40.59,-73.96,81.18,88.8,359.39
46095465,4hsgZPQfRdObjEvhpd0Dag,966,104.38,11.17,0.91,0.53,40.69,-73.93,80.1,90.1,1.25
46209369,XLFxX4_frqu-YN17bL1MXA,966,53.46,2.17,1.28,0.9,40.64,-74.0,128.39,88.12,358.53
46349979,DzJAB_PqkRazWgB5MNUkTA,966,86.28,1.55,5.63,2.83,40.68,-73.96,105.25,90.07,1.31
