id,panorama_id,text,ocr_yaw,ocr_pitch,ocr_width,ocr_height,lat,lng,heading,pitch,roll
44667149,d5EKjeGMOqwD73fQnzZyrw,317,93.84,0.59,1.3,0.62,40.64,-74.02,307.86,88.73,0.15
44749558,VcNXqi9tCd_hRrs_I7Hp2Q,317,121.7,3.1,1.95,0.96,40.67,-73.94,19.37,89.69,1.55
44719759,fwPZnVXzqu8PmAGAQnTy6Q,317,115.15,0.9,2.68,0.83,40.62,-74.03,198.31,89.25,359.98
44970894,3eZPQORVIGtGmHyovDke4g,317,95.33,3.62,1.57,0.76,40.67,-73.95,4.55,91.92,359.63
44916646,_jdqPYh045lxHxx0lSpZyQ,317,-124.13,3.51,0.6,0.55,40.7,-73.92,219.08,90.72,359.82
45034254,4-d5Df4hULaeazQXn60fzA,317,40.73,5.37,0.68,0.41,40.67,-73.94,91.65,89.46,359.55
45202122,LLKVibSTXFKCj-8DjpN15w,317,-57.76,-0.72,1.14,0.76,40.71,-73.94,82.68,88.2,358.59
45209495,sdDOYSUwzLHGZ6n2PquCNw,317,-68.36,0.14,0.66,0.69,40.71,-73.95,352.61,88.49,357.5
45277161,lzYmJ4fRFmbglGqMSG__2g,317,-99.61,8.36,1.31,0.81,40.65,-73.98,62.63,88.59,358.52
45470489,tL-d89-mMoFDq6nkOtJSQQ,317,72.97,9.87,1.98,1.0,40.67,-73.94,3.36,88.39,359.69
45801876,HQRRZxfLpkE9ehvvCISBLg,317,103.83,0.41,1.5,0.83,40.71,-73.94,262.65,91.18,359.77
45858066,E04kdIAMaTJeqbh-vBqy_Q,317,-116.34,0.07,1.3,0.69,40.71,-73.94,171.29,89.7,359.86
45902153,SRkh__Yt-7U8wFrahgGQFw,317,-141.59,3.58,0.68,0.55,40.67,-73.95,93.19,91.02,1.05
45984143,JNLW1PczFxZqWDY4NjFdhQ,317,131.32,4.68,2.1,0.96,40.67,-73.94,4.01,89.38,0.71
45950720,kzo3lsY1L7cTwxMualOkuA,317,152.29,4.78,0.57,0.48,40.67,-73.94,4.89,88.82,359.67
46024199,ds7SwvCqhbsI4hQEPAwowA,317,110.05,-2.83,0.9,0.55,40.68,-73.97,284.76,90.59,0.52
46028924,F4ghZ8hR-WWCw7SYZEcJcA,317,82.14,3.1,1.29,0.69,40.69,-73.99,295.77,89.12,1.03
46082141,xwok__rQ5okpV17BJhcNmw,317,85.52,3.45,0.69,0.41,40.68,-73.92,261.74,89.59,0.13
46209102,Y1_xJCj0CURdluxMuhQTvg,317,52.75,-6.97,1.08,0.61,40.62,-74.03,302.23,88.72,359.93
46231696,0iv_8ghIaeRUEWjF_5xx1g,317,143.36,-0.1,0.81,0.62,40.61,-73.98,281.59,88.69,2.32
46265799,52SMRUB2I9ZLYc0Wihvzmw,317,170.09,3.65,0.85,0.69,40.7,-73.92,277.03,90.2,359.79
