id,panorama_id,text,ocr_yaw,ocr_pitch,ocr_width,ocr_height,lat,lng,heading,pitch,roll
45168305,JnyRUCuEz_ly_phx2XWwOw,0320,36.56,-17.54,1.69,0.44,40.68,-73.99,295.9,89.97,0.51
48730990,u-QJKgsjtbNmlGP12gDG0w,0320,-132.42,10.42,2.75,1.53,40.65,-74.02,306.85,87.18,358.97
54847577,h3DCn9FS-T7YsknEE5RYIg,0320,88.67,9.67,1.39,6.13,40.64,-74.01,127.66,91.91,358.68
55968027,_dJkXRmcHuWQh0U0PtsXpw,0320,-152.82,2.45,1.0,0.48,40.64,-73.92,177.04,89.88,2.59
57096797,38E-xWjxWIGrkCejC0IPEg,0320,129.29,-0.45,0.82,0.34,40.75,-73.9,196.95,89.53,359.9
59305787,UFO7kLhHPnCnVxJVgCspgA,0320,152.96,-11.14,2.64,1.69,40.73,-73.92,302.74,88.08,1.3
59433676,uUKQvxhozsoLSpreQOSdtw,0320,90.95,6.4,1.27,0.75,40.61,-73.93,320.05,89.34,4.09
60269156,-E5L6W9SVKZtdu_M67-GCQ,0320,163.62,-0.55,1.09,0.41,40.73,-73.79,264.54,90.68,1.92
60900624,XmrUC3gQBOTbUsnmGz5Org,0320,-36.41,-0.93,2.36,0.9,40.62,-73.99,307.4,89.69,359.76
61276232,H7isVqGdGlcb1mv6mVh7jA,0320,93.82,6.29,1.17,0.48,40.75,-73.92,31.54,90.62,359.76
61710104,-peS_JJdxFoYzj0Qx8kykg,0320,-132.01,-0.89,3.07,1.96,40.6,-73.98,170.55,90.77,1.45
69280180,sn-2mY_DbyA6N1Wr3b9_0g,0320,-96.64,-17.23,2.17,0.69,40.74,-73.93,9.38,89.64,2.71
69614085,xkuz6sABUyg5SkE2D6vFHw,0320,-37.95,4.92,0.83,0.48,40.76,-73.79,87.56,89.13,2.28
71026880,urBqPhfpspbX-GUsPHtJBw,0320,-129.5,6.53,2.32,1.63,40.74,-73.93,9.94,89.45,0.53
72808858,ikQps5R1lb_imIS6PO6xQw,0320,99.97,4.34,3.08,0.82,40.75,-73.87,69.01,88.74,1.1
73142981,Gx8QdkFvXMXNF-3JFEzmbQ,0320,116.73,3.46,1.35,0.57,40.61,-73.77,145.13,89.47,0.73
78652618,c7i0Be2IC_xFVJX-3zYXFg,0320,41.41,-19.51,1.6,0.56,40.73,-73.89,176.8,89.72,0.14
78652621,c7i0Be2IC_xFVJX-3zYXFg,0320,41.42,-18.57,1.66,0.71,40.73,-73.89,176.8,89.72,0.14
80092875,pEQmgxYMJVHNlPGan1Kfmw,0320,44.34,-6.8,0.75,1.87,40.76,-73.94,215.32,90.56,1.4
80132793,Zt-LVH4Cx7dqQ9icVo7oig,0320,108.76,0.21,1.11,0.55,40.69,-73.82,160.15,88.97,0.2
82840735,ABhZxeTl2exl-8BoygmUYw,0320,-88.87,-3.86,1.2,0.69,40.76,-73.83,153.23,87.28,2.41
87603701,68BXb-d33VFoku4vxnTY9g,0320,118.18,2.96,2.28,0.69,40.75,-73.87,68.4,89.18,0.1
91614416,AgFz3E5clJIKcJmftZP-yw,0320,129.94,-14.03,4.72,2.14,40.75,-73.84,29.8,90.0,356.95
103819545,G9v0N0EjlcgmeuY20Ow1TA,0320,-122.5,0.07,2.48,1.24,40.84,-73.92,69.34,88.64,1.31
104529457,8-B8UhwAu5WvEGVtC5x3hA,0320,40.94,-20.19,1.86,0.78,40.88,-73.85,159.95,85.35,0.45
112001057,g-2A4rycq3yonHUz7KLsVQ,0320,170.65,-1.62,1.31,1.17,40.6,-74.19,160.32,90.07,2.67
113013234,IraVPjh-pZM9cYOE-p_v6A,0320,-136.52,15.06,1.5,1.09,40.63,-74.13,193.08,90.99,0.51
113894574,Htc88WN6WqhhSdvnVlZGWA,0320,172.76,3.99,0.32,1.24,40.59,-74.2,51.82,91.31,0.21
114485224,tVCOSBsh1x6U1SYPvncyAA,0320,114.84,4.03,4.41,2.54,40.54,-74.15,211.56,89.97,2.27
11937853,JgoHXN7Bwsqr1BwMxiYLKg,0320,138.28,7.1,0.8,0.48,40.78,-73.95,210.86,88.18,1.29
14411318,wWE6zLmV1Nqc-SqTv7zQcQ,0320,-70.54,-21.79,3.25,1.31,40.73,-73.98,353.94,90.0,0.0
16987469,jHHxmyAtTEmphre0rh7MBg,0320,-5.37,-19.22,1.5,0.31,40.72,-74.0,116.66,89.64,358.68
27541628,dAMCce_fJr8jROM3GP74Jg,0320,115.46,3.17,2.06,0.96,40.67,-74.0,37.3,89.58,359.4
30440186,GxCTQNNzwRzsTrh1Y0MkEw,0320,-119.11,-0.11,2.55,0.85,40.72,-73.95,225.99,87.07,1.01
30696832,qD4CmWkh2JACdy1waxUFxA,0320,-127.45,-3.2,1.08,0.62,40.64,-73.99,2.36,90.17,0.12
32632675,5Kb35QkRlTKFxzJ6_U7eKA,0320,-6.92,-10.57,1.09,0.4,40.68,-73.96,199.06,91.53,356.92
33475373,VWYqsBd7WnzKYWdoOORS9A,0320,-132.61,0.93,1.83,0.77,40.66,-73.96,264.95,89.96,0.96
35475060,G9LtIuaC01Lq3BUd9bEr0A,0320,-42.38,8.32,2.07,1.01,40.65,-74.02,307.24,87.9,359.94
36095594,hFpFD0Nn-8VWB2IkT1-VdQ,0320,-59.74,-1.66,1.74,0.55,40.67,-73.91,227.29,89.48,356.33
39347137,2eqEZrMCq2InI4-o_AJK9A,0320,72.08,4.85,1.31,0.48,40.7,-73.91,214.43,90.07,356.95
40704373,VnsOoT3M4_P8dA3VeEtQEw,0320,74.17,2.17,2.23,0.76,40.63,-73.99,308.51,90.44,358.98
42344093,3XYrYv1FHG_AcVCFSPm_oA,0320,71.39,1.48,1.44,0.62,40.65,-74.01,218.25,89.96,1.38
