id,panorama_id,text,ocr_yaw,ocr_pitch,ocr_width,ocr_height,lat,lng,heading,pitch,roll
44809309,V7YnC7pKmKXgrSLDDdcjFw,056,32.7,5.09,1.27,0.82,40.68,-73.88,238.38,89.26,0.8
44713942,4pOhEHWjDzN0OHsrAIc44Q,056,75.62,10.57,2.37,1.47,40.68,-73.9,244.71,89.52,1.84
44775368,avUh-rIkDtoxBG91T7c3DQ,056,-109.23,5.78,1.31,0.82,40.68,-73.9,243.77,89.06,0.47
44868247,G8pJCRoR5t7ufZ3cItFOxw,056,40.82,3.07,1.49,0.89,40.68,-73.89,55.67,91.13,358.78
45002225,N-XRoba9wk32XVHH75aDvQ,056,54.74,1.21,1.27,0.76,40.68,-73.9,59.83,89.96,1.13
45001002,TbBo3w-hdUwqjnOshOF2uA,056,48.41,10.07,2.54,1.54,40.68,-73.9,241.4,89.27,1.22
44875271,TOgF9ON3PDxV2ndf5C3p_Q,056,138.47,1.62,0.92,0.62,40.68,-73.9,355.49,90.53,358.98
44963702,NtFp76x1hSgL6cwRxNKnZw,056,-163.98,-0.17,0.83,0.34,40.67,-73.91,258.18,88.82,1.09
44984003,Tj1k9B_ACWQNYN9JLDkgEQ,056,19.98,6.39,1.1,0.68,40.69,-73.87,67.5,89.97,2.14
45042549,jg8cKT3e0JzHAHUODhBMYw,056,-121.3,5.09,1.41,0.82,40.69,-73.88,238.68,89.5,359.11
45157743,JR8SvZUQHfaJnfLPTPUlig,056,40.67,9.27,1.93,1.14,40.69,-73.87,257.76,90.02,1.01
45112248,noSU7Nig8x8xPOkSp_ulGg,056,52.34,6.7,2.04,1.16,40.68,-73.89,57.87,89.68,0.34
45122394,hGyHf0tVbtOxXhgCxTly1g,056,43.65,5.26,1.72,1.03,40.69,-73.87,254.89,90.45,1.44
45186160,UcRtHpMSknGG7Wulb6AvFw,056,-115.97,2.65,1.05,0.76,40.69,-73.87,240.06,90.54,359.96
45335210,sX0QALcFJoltgO1khmQ6oQ,056,169.66,0.21,0.92,0.41,40.65,-73.91,268.45,90.68,0.02
45241550,TLDq9hbQdepieDvSPlKm5g,056,88.93,7.68,1.67,1.63,40.68,-73.89,236.91,90.32,0.21
45238315,IvJ3_wsAm2FLBeJQ4WkadA,056,-112.57,5.09,1.38,0.82,40.69,-73.88,57.36,90.56,359.46
45377416,xKX-knyPdzqiJwRMXPU5qQ,056,-89.59,5.19,0.83,0.62,40.59,-73.94,255.13,90.13,359.87
45541304,pxzi9Tgdd2H_lKf5T_HbOA,056,-109.78,6.9,1.17,0.75,40.69,-73.87,249.64,89.89,359.87
45446578,BjmGejoStM8_870KoLnOQQ,056,-59.55,3.27,0.95,0.48,40.68,-73.89,349.41,91.55,2.76
45501974,ZKRb-krmE3FZA4lzqXMcyQ,056,76.8,-2.34,1.75,0.83,40.65,-74.01,133.48,89.92,359.56
45823727,NDTHkirPYxYXTRIWrRzD9w,056,72.28,8.59,1.99,1.28,40.68,-73.89,56.93,90.58,1.34
45779730,z_y5QRUjoRD2-_n-mwzkEQ,056,167.5,0.62,1.27,0.83,40.68,-73.9,145.81,90.23,359.01
45856543,StFBbvqm3ZIEgMpLP8tUAQ,056,49.51,4.85,1.71,1.03,40.69,-73.88,234.31,90.06,358.2
45864413,g6quz7AXDfoxRxKsgRgZjQ,056,62.07,6.73,2.02,1.22,40.69,-73.88,235.74,90.04,357.97
45959631,SEL9ZxgJ743a9GRG_7gWvw,056,101.4,10.07,1.33,1.27,40.69,-73.88,237.49,90.38,356.94
46077142,R5dr8N6AmbjuDjdjSOIwOQ,056,-145.27,-0.76,1.98,1.38,40.68,-73.89,235.54,90.93,1.42
46125727,IfjlT8LGYcbB_NOntvfTiw,056,33.57,9.8,1.93,1.13,40.68,-73.9,56.06,89.58,2.04
46130854,yvpOqwzk-UPY9VOVg3r9iQ,056,119.13,4.37,1.7,0.75,40.63,-74.0,129.41,88.36,0.25
46048473,ZLQJwO2wTxoUMl_devQErA,056,-107.51,7.07,1.3,0.82,40.68,-73.88,58.44,89.66,0.39
46045638,xNA3Qs46LtrHbg8bqenbGA,056,-124.43,6.22,1.47,0.89,40.69,-73.88,238.15,90.4,359.95
46624989,q_ROrCc3Uicrqzog81oSIg,056,59.58,5.43,1.81,1.09,40.69,-73.88,53.05,91.43,359.02
46726904,oIXm8cNn31vfNyFBcaey4Q,056,84.82,16.85,2.39,1.58,40.69,-73.88,53.09,90.63,0.66
46726175,1PqO1G33WblB8-qJDg29fg,056,-141.32,-0.76,1.91,1.52,40.68,-73.89,237.51,90.52,0.51
46838261,feZp7rWJZWfQDsYvVeOWkQ,056,91.83,13.02,2.14,1.44,40.68,-73.89,236.5,89.23,359.27
46879325,8iCDobwH8rokJ8YrNjxlww,056,49.24,2.93,1.3,0.76,40.68,-73.9,238.8,89.33,2.22
