id,panorama_id,text,ocr_yaw,ocr_pitch,ocr_width,ocr_height,lat,lng,heading,pitch,roll
44656141,XnorcBrgzNW8Xt33xys5DQ,864,21.52,2.56,1.31,0.99,40.64,-74.03,111.88,91.8,3.45
44867193,QqtIBVhqJbpldKdHVwG8gA,864,-66.4,9.3,1.14,0.81,40.69,-73.93,260.69,90.36,359.27
44951452,1IEJwRtZ9yqCLFYtQWMRkQ,864,28.99,4.58,1.16,0.62,40.64,-74.03,196.0,88.16,1.06
44911080,6qo5NJ2tYkYMhCHPG_nOnA,864,-117.12,6.08,1.0,0.61,40.7,-73.92,218.6,88.32,0.22
45098306,zgsyso9xUQWdHMrmCej9ew,864,-76.04,2.31,1.23,0.62,40.64,-74.0,307.81,90.5,359.28
45163884,PVIB0EqT7ziX8g5uCAqmEg,864,14.45,1.69,1.04,0.62,40.64,-74.04,28.34,91.04,0.08
45109225,OptvdigvEa5OIplV9zJ-Bw,864,-81.95,0.41,1.29,0.55,40.64,-74.0,308.49,91.28,0.97
45182256,mC3uBDeYrGGfziQpDfRnuA,864,-136.79,1.48,0.85,0.62,40.68,-73.89,66.82,89.11,359.04
45211371,-fGol5IJaNU7SbhmU8K2fA,864,64.13,1.41,1.11,0.76,40.66,-73.89,150.11,89.63,3.11
45182319,mC3uBDeYrGGfziQpDfRnuA,864,136.45,-0.52,0.83,0.48,40.68,-73.89,66.82,89.11,359.04
45228604,z8UrUvHfHfxhExJWqn4VSQ,864,10.27,1.62,0.87,0.34,40.69,-73.93,80.79,90.11,2.3
45243360,ZHuMA2lfaqvuviakaTC3Bg,864,-143.08,-0.69,0.84,0.41,40.61,-74.01,308.32,89.96,2.26
45321304,A6oE6skSkyJtK-PkdEdKzQ,864,-111.29,9.74,1.17,0.6,40.69,-73.93,257.86,90.58,358.45
45321309,A6oE6skSkyJtK-PkdEdKzQ,864,-111.22,10.47,1.14,0.73,40.69,-73.93,257.86,90.58,358.45
45394910,Z5XvUGdyuHFi0vNhSuaIIA,864,-71.15,3.41,1.92,0.89,40.69,-73.93,260.97,89.83,1.37
45434959,Mq0yeWWpRJBI6nQeGJuBCQ,864,-74.42,0.76,0.96,0.41,40.63,-73.94,355.15,90.3,358.68
45596272,KAS814MgErJyiYG8pJPNag,864,-77.8,-1.17,0.73,0.28,40.65,-73.93,355.35,90.28,2.52
45673354,7fBd9zI25ndwRClvA5yICw,864,-151.69,1.79,0.75,0.41,40.63,-74.02,120.34,89.26,1.43
45695976,tJUyYPYSXSzZYWjKr-WXyQ,864,77.84,2.45,1.19,0.48,40.62,-73.99,128.06,88.75,0.14
45767658,MPz10CiROJdKm6OUZaPZOg,864,78.46,-0.0,1.52,0.69,40.64,-73.93,174.86,89.45,0.03
45884281,EcRpXX9T1xT38xtmFXkoUw,864,-118.25,1.21,1.27,0.63,40.66,-73.93,265.18,89.19,0.56
45884294,EcRpXX9T1xT38xtmFXkoUw,864,-83.61,2.52,1.36,0.76,40.66,-73.93,265.18,89.19,0.56
45980319,_IZIjVSVmqCHYZdI4B8LVA,864,-108.92,-1.41,1.11,0.64,40.58,-73.98,351.31,89.8,2.58
46070619,f4CiNwmcYbE1a9NArc01YA,864,-124.33,5.01,1.6,0.77,40.69,-73.91,306.42,91.16,0.71
46144726,L-timLmF08Pv2n_6TUOctA,864,-117.3,6.63,1.75,0.88,40.69,-73.93,261.03,91.16,1.07
46144729,L-timLmF08Pv2n_6TUOctA,864,-108.75,4.13,1.03,0.82,40.69,-73.93,261.03,91.16,1.07
46210336,NE1U64vI9RcjOypyKC7Sbg,864,38.55,8.53,1.53,1.15,40.69,-73.93,80.61,89.08,359.87
46210342,NE1U64vI9RcjOypyKC7Sbg,864,47.38,6.15,2.0,1.02,40.69,-73.93,80.61,89.08,359.87
