id,panorama_id,text,ocr_yaw,ocr_pitch,ocr_width,ocr_height,lat,lng,heading,pitch,roll
44692373,wrT5gwUjBrBUjtXKgv7dfg,1913,39.63,-5.19,1.76,1.16,40.7,-73.99,290.65,89.09,358.86
45134281,Bu1lIhjd-iccDKEGHpomOA,1913,62.63,-6.71,3.7,2.11,40.7,-73.99,296.97,88.97,359.89
45363858,GjByFsvUk2xpqpkHZfDmrw,1913,-120.25,4.3,1.22,0.62,40.66,-73.98,222.48,87.5,359.56
45557254,PTm-HttcT40hOXKpwgdvrw,1913,-67.43,6.97,1.52,0.89,40.68,-73.91,43.54,90.58,359.98
46001542,TXK9_kaOlBh9QZfIgIIBkg,1913,108.04,0.76,0.94,0.28,40.6,-74.0,304.21,90.01,358.81
46015868,dxOed76ga8gODyH8zHFxvg,1913,-53.73,3.69,1.11,0.62,40.64,-73.95,174.79,89.84,359.65
46072931,-MDZAJX8_LMYAsgIL6Ycnw,1913,-103.3,6.9,1.41,0.61,40.64,-73.95,173.14,91.25,359.17
46134770,oLgRx1HvF8uSuQNn0lq7Rg,1913,129.28,4.82,2.09,0.96,40.68,-73.91,210.57,86.82,358.58
46185565,cfql-Hb1_HV8l_mht6adoA,1913,-131.66,-0.1,0.89,0.48,40.59,-73.95,81.03,90.11,0.44
46831444,UVo9qJ99yDWw4Xf4_CBHLg,1913,82.37,2.76,1.87,0.96,40.59,-73.95,262.47,91.33,0.62
46834689,zWhCnC_4KgoZWXVk9PzsBQ,1913,-34.46,0.66,0.6,0.48,40.59,-73.95,82.03,89.7,1.31
47101297,A6OMixug27Y4wAX-oQQ1cA,1913,-115.05,-3.31,0.67,0.41,40.66,-73.92,139.15,89.99,359.81
47188259,rbwA6A_E0w6JPwN47AftLQ,1913,-80.8,7.61,1.65,1.0,40.68,-73.91,111.67,90.36,359.45
47291565,eMEg0hiHz7UIn00ZvIiz0Q,1913,73.66,0.86,0.95,0.34,40.6,-74.0,304.18,90.47,359.39
47617298,-i7o84ERnl74LRoc5Tz9gw,1913,108.94,8.73,1.97,1.42,40.68,-73.91,292.67,90.05,357.73
47616296,FUrxvg72bNyAiYhiri-gzA,1913,155.26,4.3,1.03,0.62,40.68,-73.91,229.87,88.55,1.0
47714766,yuN_jiOJNWZX8-FObjxFgw,1913,-140.62,-17.13,3.05,1.4,40.61,-73.94,138.5,88.62,359.7
47819811,KsPExiePuHQbeBlh42Sbkw,1913,-157.03,-9.74,0.95,0.87,40.66,-73.96,242.52,90.4,359.15
47923686,8NUdAJvZLRkYiu8Vq4yw5g,1913,94.65,4.13,0.94,0.55,40.68,-73.87,257.07,91.4,359.66
48190185,jBcfsFXnjWwcZzOInv2kCw,1913,38.04,-4.06,1.54,1.1,40.7,-73.99,286.18,89.02,0.2
48368562,gYVzR9JmJMqUigOLr4tRvg,1913,-124.17,1.62,1.52,0.71,40.65,-73.96,70.65,89.5,1.51
48368567,gYVzR9JmJMqUigOLr4tRvg,1913,-121.92,-1.79,1.05,0.41,40.65,-73.96,70.65,89.5,1.51
48445458,y61-8JrzKLWsvQKtcdBqwg,1913,-62.63,-0.76,1.38,0.69,40.71,-73.96,297.85,90.82,1.89
48584227,irRkO29-oFSGXCruJaE3nA,1913,142.18,-1.86,0.71,0.41,40.69,-73.99,290.38,90.69,359.52
