id,panorama_id,text,ocr_yaw,ocr_pitch,ocr_width,ocr_height,lat,lng,heading,pitch,roll
44751107,wxEy_Ne3pUy1ubpmnE0rgQ,504,-84.03,2.24,0.95,0.48,40.66,-73.9,348.11,90.13,359.4
44950546,3TGSyQcK5Cx0U9qzkRjsLw,504,-114.29,-8.29,1.45,0.81,40.6,-73.92,139.64,89.99,3.71
44881614,R1_2CwB1jY2B_6_D-xA20A,504,-59.89,-9.3,1.49,1.07,40.66,-73.88,59.94,90.23,0.47
44970144,GYKu5VLYODHA4N3n-UdjRQ,504,133.07,1.97,0.96,0.48,40.66,-73.98,85.17,87.86,0.12
44992243,KwD9LlvTpE_YEh3UXmLyDg,504,-98.93,19.71,1.01,0.43,40.65,-74.01,217.68,89.87,1.74
45061894,IKIFp9pqaxCGcgnOLHao6Q,504,-51.73,6.46,1.47,0.82,40.67,-73.98,302.12,88.14,0.19
45045026,sYxRLIVm6ISdpSR46KepvA,504,52.27,0.83,1.09,0.83,40.65,-74.01,128.7,93.65,359.95
45195724,tnO4pFlKj5HwhIF5MZv2iA,504,87.38,0.17,1.1,0.48,40.6,-73.99,128.06,90.56,0.29
45192167,sRnTeN0KxNvTKQ89MtP_Ag,504,26.94,2.21,0.75,0.41,40.66,-73.93,86.79,89.49,359.64
45283161,S5pyyuy39SKFr6-NhqkeyA,504,-135.03,-2.79,1.17,0.62,40.72,-73.94,151.31,89.06,359.87
45386752,GHnr6JK0_26Qt4Tf5LgUWg,504,-6.54,-6.07,10.13,4.18,40.68,-73.93,93.26,88.52,358.97
45401088,FX-QeR-nuI0HZ1HCh5Finw,504,-145.01,0.31,0.79,0.34,40.6,-73.97,261.19,89.19,0.85
45579218,q0_pGiQt67mnoobwUqwh8g,504,-78.37,12.49,1.4,0.79,40.67,-73.98,304.76,88.18,0.72
45507782,BLeHwjcW4Eq-t4aOVEg3Cg,504,67.0,-3.96,0.89,0.48,40.65,-73.97,166.88,89.83,1.34
45945820,K0MQN6yWuYESoJydMVj4HQ,504,-77.74,-2.65,1.12,0.76,40.58,-73.96,254.69,89.28,2.22
45758384,v1f6gdtHvpfByUUlcVKVcA,504,60.37,2.99,1.91,1.62,40.58,-73.96,67.31,89.63,3.37
45960951,344MXP4uuUgBVpPvE_ZmaQ,504,-120.18,2.24,0.68,0.62,40.7,-73.95,351.36,89.08,358.94
46071629,T7RlFlWOWB755RN4dKqiOg,504,-112.53,4.92,1.17,0.75,40.68,-73.96,64.75,89.68,0.95
45969172,k2JLMdqcTC086fxTpJJa1Q,504,100.84,1.17,1.33,0.69,40.6,-73.97,80.95,91.41,0.65
46114677,LvzV4sETpkBLqq8g2PaPTw,504,30.11,-2.28,1.08,0.41,40.66,-73.9,168.71,90.8,0.27
46125479,fPaQtJ11fd0sh_rmKDbLGA,504,-167.02,-2.07,0.98,0.55,40.66,-73.94,10.0,92.53,2.59
46075783,ECK9pnNEz59eQaQTkTBYtQ,504,140.65,-14.77,1.07,0.52,40.73,-73.95,269.18,90.0,0.0
46187510,6RD8Hj_RsrzXZFWvfb_ZBw,504,36.92,-7.82,1.49,0.81,40.65,-73.89,329.94,89.02,0.99
46154698,8jPlRmDzLfRpWR7kirwK2Q,504,41.1,4.41,0.93,0.41,40.66,-73.93,175.05,88.5,2.09
46268805,_IM8s2VZ8gL31drFEiAL4w,504,-127.12,1.07,0.81,0.48,40.6,-73.97,260.44,90.05,0.99
46393053,j95maz7WZAy2Yr8AhdSqYg,504,-70.57,-0.21,0.74,0.41,40.67,-73.94,273.51,89.22,359.82
46393899,w43u6O3LdrKob3gtWU7ylQ,504,-82.45,2.07,0.95,0.41,40.64,-73.97,352.25,90.06,0.33
46299527,j7E3pspKbCmKzkDHHuZpBQ,504,-61.52,5.74,1.77,0.89,40.67,-73.98,302.25,87.5,359.86
46593446,kCtBnMvRfujcE6PQjQcQCw,504,-83.03,0.55,1.02,0.55,40.6,-73.97,260.69,91.21,1.45
46556406,EHg4B31Ni5DIefwKTVDnQg,504,114.98,4.06,0.69,0.41,40.64,-73.98,170.39,89.78,1.28
46506075,4iN033WbCA_PzwPmIYkT-A,504,-137.34,-2.55,0.96,0.55,40.72,-73.94,150.42,89.03,359.63
46569488,cJwk1kA_9hhF5oBqyrM2NQ,504,-31.66,-1.35,1.05,0.62,40.67,-73.9,77.13,89.06,359.16
