id,panorama_id,text,ocr_yaw,ocr_pitch,ocr_width,ocr_height,lat,lng,heading,pitch,roll
44669475,-Imc0RGUjeaP9sYGbAxBaw,406,-86.18,-2.9,1.17,0.55,40.69,-73.95,262.54,89.18,359.85
44669969,mxy3r2wnyVCOZWWDwhi5vw,406,-95.24,-0.48,0.88,0.55,40.67,-73.92,97.59,88.17,1.31
44808936,472EEdC63NmFHgSnJQssVA,406,59.58,17.85,2.33,1.31,40.69,-73.95,80.65,88.72,359.94
44809011,472EEdC63NmFHgSnJQssVA,406,80.32,8.22,1.71,0.95,40.69,-73.95,80.65,88.72,359.94
44836665,cKeCYSK-tIHKk6ebOOGIbw,406,-124.83,-13.93,1.74,1.17,40.66,-73.87,57.71,90.22,358.76
44765928,6YWbA7DEmzzFdCuzPKLkDg,406,-41.73,-14.42,2.0,1.3,40.67,-73.86,79.9,89.63,0.32
44789487,215z6c5YOtL3o3lMRuv3kQ,406,-83.37,-6.39,1.16,0.55,40.69,-73.95,260.25,89.63,1.22
44874149,UJStwnEUBzhaDHJlTTJ9iw,406,-124.53,2.17,1.4,0.9,40.7,-73.92,307.6,89.22,359.49
44885066,95MnIXcc_hlUXfkKWermow,406,-138.31,8.69,0.98,0.67,40.69,-73.95,355.72,88.88,1.42
44971811,1wSM_3YFrENDrNizyrAyhg,406,88.06,5.26,1.15,0.62,40.71,-73.92,37.7,90.92,359.72
45067741,dxvrC7ETYHcRl_vPwvPFDw,406,74.94,6.87,1.83,0.82,40.65,-73.98,81.4,89.64,359.97
45146091,PvHDKpD1Ql0n4eIiZieHGg,406,-202.09,-8.53,0.83,0.47,40.69,-73.97,272.23,89.82,1.86
45155566,96eiOjciTMDhnuAlnofGkA,406,82.32,-0.59,1.22,0.62,40.65,-73.98,76.57,89.9,1.31
45345758,NkLnWHNm19gPNfccoYjngQ,406,-37.9,1.52,0.61,0.55,40.68,-73.87,348.51,91.61,359.23
45359749,AXlymymuEsZZMEt3aYQ83g,406,37.35,-14.71,3.32,1.68,40.63,-74.02,201.62,93.06,359.53
45543799,VF4jRorERZ61ELaKhCTWmA,406,138.96,-5.33,1.58,0.89,40.69,-73.97,171.78,87.61,1.53
45497258,E--mLhZnIAjqaXKdIzLttQ,406,-142.5,-3.65,0.97,0.55,40.7,-73.92,265.89,88.58,1.37
45616592,joKFTcl4KpG-QOcu6IXIrg,406,35.71,3.38,0.92,0.69,40.66,-73.98,301.33,87.03,0.49
45593478,r32eY4ilUiJ8FiKtAEJ12Q,406,-89.62,-3.17,0.9,0.41,40.64,-73.95,354.77,90.96,0.28
45672678,SpAFyz7FGiG9ye-6r3YUxA,406,137.83,2.93,1.24,0.89,40.66,-73.98,301.49,87.76,0.72
45681283,_Dzzx3cn7qlN9iRTHymqlQ,406,119.71,-0.66,0.77,0.48,40.65,-73.93,174.93,90.26,359.26
45643986,HP7BdFt0Ej7QXu23osHDaw,406,39.41,-3.27,0.82,0.62,40.69,-73.95,82.01,88.36,0.25
45643991,HP7BdFt0Ej7QXu23osHDaw,406,44.9,6.22,0.9,0.61,40.69,-73.95,82.01,88.36,0.25
45664327,Q6X1z76OOhuiXhpqPMX9Sg,406,78.97,3.34,1.52,0.62,40.68,-73.99,118.05,88.86,359.66
45743976,Ml5l0ccPWuOC8aIbMpsNHQ,406,158.57,-5.64,2.14,0.82,40.58,-73.98,125.82,89.75,0.39
45806368,hbcNTJTaX-BsjeWCI3wysw,406,-53.41,-18.6,1.75,1.43,40.67,-73.86,79.19,89.44,0.81
45836033,W0MgMvbHOmx8g_Cx4fIcGQ,406,-130.49,5.54,1.03,0.62,40.68,-73.87,351.07,91.9,359.97
46055034,NctNmmAaG0D8EDFWCbPwNQ,406,178.45,-5.88,1.93,0.75,40.57,-74.0,84.67,90.89,3.25
46015321,dum1fa82XopGjQ8CMfCggQ,406,59.68,0.79,0.97,0.48,40.67,-73.92,184.55,87.51,2.48
46155472,N_Pg1h83k6_jTEZ0eCgBxg,406,110.26,0.1,1.4,0.76,40.66,-73.95,85.32,89.87,0.66
46111821,DLfkYjWUbetEGzTl5MLJyQ,406,-90.03,-0.48,3.24,1.38,40.65,-73.97,243.89,89.43,0.87
46111839,DLfkYjWUbetEGzTl5MLJyQ,406,-82.96,-14.68,1.7,0.71,40.65,-73.97,243.89,89.43,0.87
46174887,zZ5gQurl3bRlYRbRQg4BVg,406,-73.66,-6.49,1.72,0.89,40.64,-74.02,308.33,87.42,0.54
46184194,uzSE4H8UNDjN_akzgSoDrg,406,94.02,-5.78,1.18,0.68,40.63,-73.94,79.41,89.08,358.93
46332414,f974ypKk65P8B1RQB-zTMA,406,57.82,0.66,0.79,0.48,40.67,-73.92,186.7,87.97,2.2
46332420,f974ypKk65P8B1RQB-zTMA,406,79.37,3.34,1.12,0.76,40.67,-73.92,186.7,87.97,2.2
46432855,hG_hboKzkTPmcqmuPqanqw,406,-82.93,-2.24,0.82,0.48,40.66,-73.93,3.72,92.54,0.32
46516568,wbZ8PhINHvR6C0QdrI7Gmw,406,-94.3,7.82,1.3,0.54,40.67,-73.98,302.69,87.37,1.27
46688690,cm1kFxlla_89bgpeXqscXA,406,-90.17,7.51,1.17,0.47,40.67,-73.89,348.84,89.55,359.91
46771798,4tD31JTRDVe1ckl0scUR4A,406,86.38,5.25,1.17,0.62,40.71,-73.92,38.09,90.66,359.93
46904527,t0k_h2TeMtcbjSqKxW4vbA,406,138.62,4.03,0.76,0.48,40.67,-73.91,172.09,88.95,0.19
46995428,ctPhzVDAXTIv9x5ozu2QKA,406,120.99,-0.93,0.67,0.48,40.67,-73.92,174.95,88.42,358.61
47010161,7eqLWXCRPxBpdg1qPbyj0Q,406,132.37,-14.88,2.37,1.52,40.67,-73.96,195.52,88.57,0.76
47010163,7eqLWXCRPxBpdg1qPbyj0Q,406,144.77,-14.71,1.74,1.55,40.67,-73.96,195.52,88.57,0.76
47010569,uPakl9x2OiDlb-zYujNhPQ,406,133.14,0.52,0.96,0.62,40.66,-73.95,84.54,89.48,1.38
47134012,3slC95fFmeSM6tTlHvaRVw,406,-99.07,6.99,2.11,0.87,40.67,-73.88,348.4,89.65,359.87
47072232,7QDVpvCYHRM88NNO21_Rdw,406,113.67,3.99,1.1,0.55,40.58,-73.96,74.11,91.0,1.34
47171627,tEvFo2VRXECnkicwBQDZcg,406,-170.9,0.66,1.21,0.62,40.66,-73.92,253.86,90.82,0.29
47187636,VdIrJVTa3r41uP6kdp4tqQ,406,-133.76,-0.48,1.79,0.97,40.65,-73.97,243.87,89.72,1.06
47187650,VdIrJVTa3r41uP6kdp4tqQ,406,-130.46,-11.34,1.1,0.73,40.65,-73.97,243.87,89.72,1.06
47189142,1WBtp8YY6lE3huOTfiVTkg,406,-87.66,-3.1,1.58,0.96,40.64,-74.02,308.08,86.84,359.89
47194924,pOSBUvdLL70uTE-W7tRhvA,406,80.45,-0.55,1.05,0.55,40.65,-73.93,175.65,89.88,359.61
47204909,zXvYu6szQ8gbiYyCF7UlQQ,406,55.87,-0.48,1.8,0.97,40.71,-73.92,37.2,90.41,358.93
47276994,AcNHW5HQ1Yxg_t3VKl1FcQ,406,55.77,3.07,1.2,0.77,40.67,-73.91,170.02,88.9,1.47
47223597,vBbZqolKY3NYezDSERgxRw,406,136.1,2.9,0.83,0.41,40.66,-73.95,86.96,90.16,0.31
47363980,e5rGyyqTgNjADLXh2okxJg,406,127.53,12.36,1.54,0.92,40.69,-73.95,81.53,89.01,359.61
47364055,e5rGyyqTgNjADLXh2okxJg,406,129.5,-6.53,0.96,0.54,40.69,-73.95,81.53,89.01,359.61
47244169,ZpyF1eJXupwP_nnc-aq_oA,406,-51.42,2.03,2.66,1.72,40.59,-73.97,,,
47403656,so3BC94dNs9q-P8lmKVazg,406,12.23,-3.27,0.6,0.34,40.58,-74.0,79.92,90.9,0.66
47483712,tVc5sWwNtO-GlbQ3fdOCdA,406,78.9,-2.79,0.99,0.48,40.65,-73.93,175.45,89.63,358.86
47570116,ZmSUtOPRME_FbLnVy3zefg,406,114.26,-8.86,0.9,0.47,40.68,-73.96,104.83,90.24,359.17
47815784,jKzFopmdgM06EbKr43nhzA,406,-26.31,-11.47,0.87,0.46,40.68,-74.0,110.77,88.19,358.57
47815789,jKzFopmdgM06EbKr43nhzA,406,-26.32,-10.87,0.89,0.47,40.68,-74.0,110.77,88.19,358.57
47820978,HE3uKM6xxED56ieAxmH98w,406,77.07,15.86,1.07,0.51,40.58,-73.98,175.65,88.63,0.36
47821198,r-g9GcFn5A51JScSW8Q6Zg,406,65.53,13.74,0.85,0.65,40.69,-73.99,182.35,89.98,1.49
47821225,r-g9GcFn5A51JScSW8Q6Zg,406,65.53,12.89,0.9,0.52,40.69,-73.99,182.35,89.98,1.49
47848257,RPDg66oXolej9i-e__Fhaw,406,-117.65,2.24,0.94,0.48,40.66,-73.95,354.93,90.89,0.2
